DATE,CPIAUCNS
1971-01-01,39.8
1971-02-01,39.9
1971-03-01,40.0
1971-04-01,40.1
1971-05-01,40.3
1971-06-01,40.6
1971-07-01,40.7
1971-08-01,40.8
1971-09-01,40.8
1971-10-01,40.9
1971-11-01,40.9
1971-12-01,41.1
1972-01-01,41.1
1972-02-01,41.3
1972-03-01,41.4
1972-04-01,41.5
1972-05-01,41.6
1972-06-01,41.7
1972-07-01,41.9
1972-08-01,42.0
1972-09-01,42.1
1972-10-01,42.3
1972-11-01,42.4
1972-12-01,42.5
1973-01-01,42.6
1973-02-01,42.9
1973-03-01,43.3
1973-04-01,43.6
1973-05-01,43.9
1973-06-01,44.2
1973-07-01,44.3
1973-08-01,45.1
1973-09-01,45.2
1973-10-01,45.6
1973-11-01,45.9
1973-12-01,46.2
1974-01-01,46.6
1974-02-01,47.2
1974-03-01,47.8
1974-04-01,48.0
1974-05-01,48.6
1974-06-01,49.0
1974-07-01,49.4
1974-08-01,50.0
1974-09-01,50.6
1974-10-01,51.1
1974-11-01,51.5
1974-12-01,51.9
1975-01-01,52.1
1975-02-01,52.5
1975-03-01,52.7
1975-04-01,52.9
1975-05-01,53.2
1975-06-01,53.6
1975-07-01,54.2
1975-08-01,54.3
1975-09-01,54.6
1975-10-01,54.9
1975-11-01,55.3
1975-12-01,55.5
1976-01-01,55.6
1976-02-01,55.8
1976-03-01,55.9
1976-04-01,56.1
1976-05-01,56.5
1976-06-01,56.8
1976-07-01,57.1
1976-08-01,57.4
1976-09-01,57.6
1976-10-01,57.9
1976-11-01,58.0
1976-12-01,58.2
1977-01-01,58.5
1977-02-01,59.1
1977-03-01,59.5
1977-04-01,60.0
1977-05-01,60.3
1977-06-01,60.7
1977-07-01,61.0
1977-08-01,61.2
1977-09-01,61.4
1977-10-01,61.6
1977-11-01,61.9
1977-12-01,62.1
1978-01-01,62.5
1978-02-01,62.9
1978-03-01,63.4
1978-04-01,63.9
1978-05-01,64.5
1978-06-01,65.2
1978-07-01,65.7
1978-08-01,66.0
1978-09-01,66.5
1978-10-01,67.1
1978-11-01,67.4
1978-12-01,67.7
1979-01-01,68.3
1979-02-01,69.1
1979-03-01,69.8
1979-04-01,70.6
1979-05-01,71.5
1979-06-01,72.3
1979-07-01,73.1
1979-08-01,73.8
1979-09-01,74.6
1979-10-01,75.2
1979-11-01,75.9
1979-12-01,76.7
1980-01-01,77.8
1980-02-01,78.9
1980-03-01,80.1
1980-04-01,81.0
1980-05-01,81.8
1980-06-01,82.7
1980-07-01,82.7
1980-08-01,83.3
1980-09-01,84.0
1980-10-01,84.8
1980-11-01,85.5
1980-12-01,86.3
1981-01-01,87.0
1981-02-01,87.9
1981-03-01,88.5
1981-04-01,89.1
1981-05-01,89.8
1981-06-01,90.6
1981-07-01,91.6
1981-08-01,92.3
1981-09-01,93.2
1981-10-01,93.4
1981-11-01,93.7
1981-12-01,94.0
1982-01-01,94.3
1982-02-01,94.6
1982-03-01,94.5
1982-04-01,94.9
1982-05-01,95.8
1982-06-01,97.0
1982-07-01,97.5
1982-08-01,97.7
1982-09-01,97.9
1982-10-01,98.2
1982-11-01,98.0
1982-12-01,97.6
1983-01-01,97.8
1983-02-01,97.9
1983-03-01,97.9
1983-04-01,98.6
1983-05-01,99.2
1983-06-01,99.5
1983-07-01,99.9
1983-08-01,100.2
1983-09-01,100.7
1983-10-01,101.0
1983-11-01,101.2
1983-12-01,101.3
1984-01-01,101.9
1984-02-01,102.4
1984-03-01,102.6
1984-04-01,103.1
1984-05-01,103.4
1984-06-01,103.7
1984-07-01,104.1
1984-08-01,104.5
1984-09-01,105.0
1984-10-01,105.3
1984-11-01,105.3
1984-12-01,105.3
1985-01-01,105.5
1985-02-01,106.0
1985-03-01,106.4
1985-04-01,106.9
1985-05-01,107.3
1985-06-01,107.6
1985-07-01,107.8
1985-08-01,108.0
1985-09-01,108.3
1985-10-01,108.7
1985-11-01,109.0
1985-12-01,109.3
1986-01-01,109.6
1986-02-01,109.3
1986-03-01,108.8
1986-04-01,108.6
1986-05-01,108.9
1986-06-01,109.5
1986-07-01,109.5
1986-08-01,109.7
1986-09-01,110.2
1986-10-01,110.3
1986-11-01,110.4
1986-12-01,110.5
1987-01-01,111.2
1987-02-01,111.6
1987-03-01,112.1
1987-04-01,112.7
1987-05-01,113.1
1987-06-01,113.5
1987-07-01,113.8
1987-08-01,114.4
1987-09-01,115.0
1987-10-01,115.3
1987-11-01,115.4
1987-12-01,115.4
1988-01-01,115.7
1988-02-01,116.0
1988-03-01,116.5
1988-04-01,117.1
1988-05-01,117.5
1988-06-01,118.0
1988-07-01,118.5
1988-08-01,119.0
1988-09-01,119.8
1988-10-01,120.2
1988-11-01,120.3
1988-12-01,120.5
1989-01-01,121.1
1989-02-01,121.6
1989-03-01,122.3
1989-04-01,123.1
1989-05-01,123.8
1989-06-01,124.1
1989-07-01,124.4
1989-08-01,124.6
1989-09-01,125.0
1989-10-01,125.6
1989-11-01,125.9
1989-12-01,126.1
1990-01-01,127.4
1990-02-01,128.0
1990-03-01,128.7
1990-04-01,128.9
1990-05-01,129.2
1990-06-01,129.9
1990-07-01,130.4
1990-08-01,131.6
1990-09-01,132.7
1990-10-01,133.5
1990-11-01,133.8
1990-12-01,133.8
1991-01-01,134.6
1991-02-01,134.8
1991-03-01,135.0
1991-04-01,135.2
1991-05-01,135.6
1991-06-01,136.0
1991-07-01,136.2
1991-08-01,136.6
1991-09-01,137.2
1991-10-01,137.4
1991-11-01,137.8
1991-12-01,137.9
1992-01-01,138.1
1992-02-01,138.6
1992-03-01,139.3
1992-04-01,139.5
1992-05-01,139.7
1992-06-01,140.2
1992-07-01,140.5
1992-08-01,140.9
