Actor,Capability,Position,Salience,Flexibility,Veto,Fixed,Position
Mugabe,338.6,100,95,25,1,0
Tsvangirai,110,5,95,45,1,0
Electoral,30,95,90,40,0,0
Khupe,58.6,5,90,45,0,0
Matambara,73.3,45,90,55,0,0
Biti,66,5,90,45,0,0
ZAPU,44,15,90,45,0,0
UPP,29.3,50,90,65,0,0
ZPDP,29.3,50,90,65,0,0
Veterans,20,90,90,50,0,0
Motlanthe,108,50,65,30,0,0
Mbeki,92,50,50,30,0,0
Angola,27,35,40,80,0,0
Botswana,37.5,30,45,25,0,0
Lesotho,7.5,50,40,80,0,0
Malawi,15,65,40,80,0,0
Mozambique,52.5,50,45,80,0,0
Swaziland,7.5,50,40,80,0,0
Tanzania,41,30,45,80,0,0
Zambia,52.5,30,45,30,0,0
Namibia,45,50,45,80,0,0
Mauritius,18,50,30,80,0,0
DRCongo,22.5,50,20,80,0,0
Madagascar,7.5,50,35,80,0,0
Seychelles,7.5,50,30,80,0,0
AU,100,42,40,50,0,0
UN,60,50,20,35,0,0
EU,80,15,20,25,0,0
USA,100,15,20,12,0,0
UK,45,15,25,18,0,0
IMF,40,25,20,20,0,0
WorldBank,30,30,20,20,0,0
