year uretim
1900 63621
1901 69389
1902 88767
1903 100461
1904 117081
1905 134717
1906 126494
1907 166095
1908 178527
1909 183171
1910 209557
1911 220449
1912 222935
1913 248446
1914 265763
1915 281104
1916 300767
1917 335316
1918 355928
1919 378367
1920 442929
1921 472183
1922 557531
1923 732407
1924 713940
1925 620373
1926 770874
1927 901129
1928 901474
1929 1007323
1930 898011
1931 851081
1932 785159
1933 905656
1934 908065
1935 993942
1936 1098513
1937 1277653
1938 1213254
1939 1264256
1940 1503176
1941 1404182
1942 1385479
1943 1505613
1944 1677904
1945 1713655
1946 1733424
1947 1856987
1948 2020185
1949 1841940
1950 1973574
1951 2247711
1952 2289836
1953 2357082
1954 2314988
1955 2484428
1956 2617283
1957 2616901
1958 2448987
1959 2574590
1960 2574933
1961 2621758
1962 2676189
1963 2752723
1964 2786822
1965 2848514
1966 3027763
1967 3215742
1968 3329042
1969 3371751
1970 3517450
1971 3453914
1972 3455368
1973 3360903
1974 3202585
1975 3056779
1976 2976180
1977 3009265
1978 3178216
1979 3121310
1980 3146365
1981 3128624
1982 3156715
1983 3170999
1984 3249696
1985 3274553
1986 3168252
1987 3047378
1988 2979123
1989 2778773
1990 2684687
1991 2707039
1992 2624632
1993 2499033
1994 2431476
1995 2394268
1996 2366017
1997 2354831
1998 2281919
1999 2146732
2000 2130707
2001 2117511
2002 2096588
2003 2061995
2004 1991394
2005 1891227
2006 1857044
2007 1853166
2008 1830002
2009 1952670
2010 2000861
2011 2060398
2012 2377806
2013 2719584
