Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2015-03-11,18.55,18.82,18.19,18.8,18.775,0.22,17777.0,0.0,37296.0
2015-03-12,18.75,18.75,17.9,17.95,17.925,-0.85,14496.0,0.0,40478.0
2015-03-13,17.95,18.7,17.82,18.25,18.275,0.35,20389.0,0.0,40390.0
2015-03-16,18.25,18.35,17.7,18.0,18.025,-0.25,18265.0,0.0,45439.0
2015-03-17,17.98,18.3,17.88,17.95,17.925,-0.1,17757.0,0.0,46883.0
2015-03-18,17.94,18.25,17.28,17.5,17.475,-0.45,48459.0,0.0,51793.0
2015-03-19,17.5,17.95,17.4,17.65,17.675,0.2,42418.0,0.0,56851.0
2015-03-20,17.66,18.05,16.65,17.65,17.625,-0.05,64613.0,82.0,63512.0
2015-03-23,17.6,17.75,17.35,17.65,17.625,0.0,30142.0,233.0,68487.0
2015-03-24,17.6,17.62,17.2,17.55,17.575,-0.05,46502.0,0.0,75319.0
2015-03-25,17.53,18.23,17.35,18.07,18.075,0.5,54292.0,0.0,82821.0
2015-03-26,18.1,18.7,17.78,17.82,17.825,-0.25,59991.0,482.0,86172.0
2015-03-27,17.85,18.05,17.65,17.7,17.725,-0.1,36556.0,0.0,90752.0
2015-03-30,17.7,17.83,17.3,17.35,17.375,-0.35,42515.0,0.0,97637.0
2015-03-31,17.35,17.85,17.32,17.85,17.825,0.45,43989.0,0.0,104363.0
2015-04-01,17.79,18.4,17.65,17.65,17.675,-0.15,55092.0,0.0,107931.0
2015-04-02,17.69,17.9,17.45,17.45,17.475,-0.2,49109.0,0.0,116911.0
2015-04-06,17.9,17.95,16.95,17.1,17.125,17.12,42119.0,0.0,125772.0
2015-04-07,17.1,17.25,16.8,17.05,17.075,-0.05,49486.0,1415.0,135693.0
2015-04-08,17.08,17.15,16.7,16.74,16.725,-0.35,59487.0,595.0,147980.0
2015-04-09,16.75,16.89,16.15,16.15,16.175,-0.55,61753.0,576.0,157497.0
2015-04-10,16.2,16.27,15.4,15.4,15.425,-0.75,75192.0,0.0,172992.0
2015-04-13,15.45,16.1,15.18,16.05,16.075,0.65,103544.0,2577.0,189025.0
2015-04-14,16.05,16.25,15.6,15.6,15.625,-0.45,73572.0,0.0,203561.0
2015-04-15,15.65,15.8,15.25,15.3,15.325,-0.3,75400.0,843.0,195329.0
2015-04-16,15.3,15.74,15.0,15.15,15.125,-0.2,63437.0,530.0,198644.0
2015-04-17,15.15,16.24,15.1,15.65,15.675,0.55,118903.0,4806.0,189900.0
2015-04-20,15.6,15.75,15.0,15.15,15.175,-0.5,77516.0,0.0,187927.0
2015-04-21,15.2,15.35,14.85,15.1,15.125,-0.05,63553.0,0.0,186865.0
2015-04-22,15.1,15.47,14.85,14.94,14.925,-0.2,61786.0,0.0,183144.0
2015-04-23,14.95,15.25,14.6,14.75,14.725,-0.2,55211.0,403.0,184699.0
2015-04-24,14.75,14.85,14.55,14.65,14.625,-0.1,47197.0,0.0,184396.0
2015-04-27,14.6,15.25,14.4,15.15,15.125,0.5,62735.0,1221.0,178598.0
2015-04-28,15.1,15.75,14.45,14.5,14.475,-0.65,79903.0,0.0,181276.0
2015-04-29,14.55,15.3,14.5,15.05,15.075,0.6,94133.0,0.0,169020.0
2015-04-30,15.1,15.85,14.95,15.5,15.525,0.45,87383.0,0.0,166745.0
2015-05-01,15.55,15.55,14.45,14.45,14.475,-1.05,74813.0,0.0,164344.0
2015-05-04,14.5,14.8,14.25,14.45,14.475,0.0,56609.0,195.0,157030.0
2015-05-05,14.5,15.27,14.45,15.25,15.225,0.75,92718.0,0.0,156153.0
2015-05-06,15.22,16.28,14.9,15.7,15.675,0.45,102313.0,269.0,142692.0
2015-05-07,15.65,16.2,15.35,15.4,15.425,-0.25,93528.0,0.0,135927.0
2015-05-08,15.45,15.5,14.2,14.4,14.375,-1.05,93738.0,0.0,121843.0
2015-05-11,14.4,14.95,14.25,14.9,14.925,0.55,66063.0,0.0,115765.0
2015-05-12,14.9,15.53,14.5,14.65,14.625,-0.3,79892.0,0.0,113497.0
2015-05-13,14.65,14.77,14.23,14.35,14.325,-0.3,85100.0,0.0,107924.0
2015-05-14,14.35,14.45,13.7,13.73,13.725,-0.6,59452.0,0.0,102463.0
2015-05-15,13.7,14.05,13.5,13.65,13.675,-0.05,99296.0,0.0,77322.0
2015-05-18,13.7,13.9,13.15,13.25,13.275,-0.4,75025.0,182.0,59097.0
2015-05-19,13.25,13.33,12.85,13.15,13.125,-0.15,77628.0,0.0,36982.0
2015-05-20,13.15,13.3,13.05,13.11,12.8,-0.32,1084.0,0.0,34944.0
