# 1990 Enternasyonel Dolarin Degeri Bazinda
# http://delong.typepad.com/print/20061012_LRWGDP.pdf
#
Year Prefferred ExNordhaus GDPPC
-1000000 92 340 115
-300000 92 341 115
-25000 92 343 115
-10000 93 344 115
-8000 96 357 115
-5000 103 381 115
-4000 109 406 115
-3000 113 420 115
-2000 112 415 115
-1600 121 449 115
-1000 127 471 115
-800 143 530 115
-500 137 509 115
-400 130 483 115
-200 113 420 115 1 109 404 115
14 102 380 115
200 98 362 115
350 94 350 115
400 97 360 115
500 102 379 115
600 104 387 115
700 112 414 115
800 116 430 115
900 131 486 115
1000 133 494 115
1100 124 459 115
1200 104 386 115
1250 99 367 115
1300 89 331 115
1340 109 406 115
1400 128 476 115
1500 138 512 115
1600 141 524 140
1650 150 556 155
1700 164 607 172
1750 178 662 190
1800 195 722 210
1850 300 788 300
1875 429 948 429
1900 679 1263 679
1920 956 1550 956
1925 1108 1735 1108
1930 1134 1716 1134
1940 1356 1915 1356
1950 1622 2138 1622
1955 1968 2505 1968
1960 2270 2792 2270
1965 2736 3251 2736
1970 3282 3768 3282
1975 3714 4119 3714
1980 4231 4533 4231
1985 4634 4797 4634
1990 5204 5204 5204
1995 5840 5641 5840
2000 6539 6103 6539
