# http://delong.typepad.com/print/20061012_LRWGDP.pdf
# Tum Dunya Nufusu (Milyon)
Year Population
-1000000 0.125
-300000 1
-25000 3.34
-10000 4
-8000 4.5
-5000 5
-4000 7
-3000 14
-2000 27
-1600 36
-1000 50
-800 68
-500 100
-400 123
-200 150
1 170
14 171
200 190
350 190
400 190
500 195
600 200
700 210
800 220
900 242
1000 265
1100 320
1200 360
1250 360
1300 360
1340 370
1400 350
1500 425
1600 545
1650 545
1700 610
1750 720
1800 900
1850 1200
1875 1325
1900 1625
1920 1813
1925 1898
1930 1987
1940 2213
1950 2516
1955 2760
1960 3020
1965 3336
1970 3698
1975 4079
1980 4448
1985 4851
1990 5292
1995 5761
2000 6272
