Date,AAPL
2003-12-31,0.38160700000000003
2004-01-02,0.38
2004-01-05,0.395893
2004-01-06,0.394464
2004-01-07,0.403393
2004-01-08,0.41714300000000004
2004-01-09,0.410714
2004-01-12,0.42375
2004-01-13,0.43071400000000004
2004-01-14,0.43214300000000005
2004-01-15,0.408036
2004-01-16,0.40571399999999996
2004-01-20,0.405893
2004-01-21,0.40375
2004-01-22,0.396071
2004-01-23,0.402857
2004-01-26,0.410893
2004-01-27,0.41196400000000005
2004-01-28,0.402143
2004-01-29,0.405
2004-01-30,0.402857
2004-02-02,0.398571
2004-02-03,0.3975
2004-02-04,0.38910700000000004
2004-02-05,0.400357
2004-02-06,0.405536
2004-02-09,0.404821
2004-02-10,0.41035699999999997
2004-02-11,0.425
2004-02-12,0.42375
2004-02-13,0.410714
2004-02-17,0.413571
2004-02-18,0.415357
2004-02-19,0.40125
2004-02-20,0.4
2004-02-23,0.39625
2004-02-24,0.39928600000000003
2004-02-25,0.407321
2004-02-26,0.411429
2004-02-27,0.42714300000000005
2004-03-01,0.428929
2004-03-02,0.425179
2004-03-03,0.42714300000000005
2004-03-04,0.44928599999999996
2004-03-05,0.4775
2004-03-08,0.464286
2004-03-09,0.483929
2004-03-10,0.49428599999999995
2004-03-11,0.484821
2004-03-12,0.49214300000000005
2004-03-15,0.472321
2004-03-16,0.461071
2004-03-17,0.467679
2004-03-18,0.45839300000000005
2004-03-19,0.461786
2004-03-22,0.461786
2004-03-23,0.451607
2004-03-24,0.45535699999999996
2004-03-25,0.479821
2004-03-26,0.482857
2004-03-29,0.49839300000000003
2004-03-30,0.498571
2004-03-31,0.482857
2004-04-01,0.48410699999999995
2004-04-02,0.491071
2004-04-05,0.505714
2004-04-06,0.496964
2004-04-07,0.487679
2004-04-08,0.49160699999999996
2004-04-12,0.500714
2004-04-13,0.480893
2004-04-14,0.475714
2004-04-15,0.5232140000000001
2004-04-16,0.521071
2004-04-19,0.50625
2004-04-20,0.495179
2004-04-21,0.495179
2004-04-22,0.496071
2004-04-23,0.49464300000000005
2004-04-26,0.484464
2004-04-27,0.481071
2004-04-28,0.472321
2004-04-29,0.47803599999999996
2004-04-30,0.46035699999999996
2004-05-03,0.46553599999999995
2004-05-04,0.466786
2004-05-05,0.475893
2004-05-06,0.47464300000000004
2004-05-07,0.47625
2004-05-10,0.469286
2004-05-11,0.48464300000000005
2004-05-12,0.4875
2004-05-13,0.48553599999999997
2004-05-14,0.48321400000000003
2004-05-17,0.475714
2004-05-18,0.48321400000000003
2004-05-19,0.472679
2004-05-20,0.47696400000000005
2004-05-21,0.48410699999999995
2004-05-24,0.48821400000000004
2004-05-25,0.507321
2004-05-26,0.509107
2004-05-27,0.5030359999999999
2004-05-28,0.501071
2004-06-01,0.501071
2004-06-02,0.516429
2004-06-03,0.507143
2004-06-04,0.513929
2004-06-07,0.532321
2004-06-08,0.541964
2004-06-09,0.5392859999999999
2004-06-10,0.548929
2004-06-14,0.5378569999999999
2004-06-15,0.548036
2004-06-16,0.584643
2004-06-17,0.585893
2004-06-18,0.587679
2004-06-21,0.577321
2004-06-22,0.589286
2004-06-23,0.6017859999999999
2004-06-24,0.5925
2004-06-25,0.6017859999999999
2004-06-28,0.580179
2004-06-29,0.580357
2004-06-30,0.581071
2004-07-01,0.576786
2004-07-02,0.555
2004-07-06,0.552679
2004-07-07,0.542679
2004-07-08,0.5382140000000001
2004-07-09,0.53625
2004-07-12,0.520357
2004-07-13,0.521786
2004-07-14,0.5282140000000001
2004-07-15,0.588036
2004-07-16,0.575
2004-07-19,0.570893
2004-07-20,0.575
2004-07-21,0.564643
2004-07-22,0.565714
2004-07-23,0.548214
2004-07-26,0.558214
2004-07-27,0.5791069999999999
2004-07-28,0.57625
2004-07-29,0.582857
2004-07-30,0.5775
2004-08-02,0.563929
2004-08-03,0.55875
2004-08-04,0.567679
2004-08-05,0.5605359999999999
2004-08-06,0.531786
2004-08-09,0.541071
2004-08-10,0.5628569999999999
2004-08-11,0.55375
2004-08-12,0.542321
2004-08-13,0.550714
2004-08-16,0.549643
2004-08-17,0.55125
2004-08-18,0.566786
2004-08-19,0.548393
2004-08-20,0.55
2004-08-23,0.555
2004-08-24,0.5705359999999999
